cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Honeycrisp,HC_O2,2023,October,0.0262,0.0,-2228.531471998746,-3723.880113788694,-2236.7918012181763,-725.2881645893677,-6521.439918134677,-7844.29073415352,-6528.481391975656,-5175.31116549014,0.8707055108854953,-0.8445055108854953,-4229.199955027357,0.00399521579836798,341.1900034205231,2297.669593436397
Honeycrisp,HC_O2,2023,November,0.0292,0.0,-2218.054781638125,-3710.346698689926,-2221.6662047770806,-695.4324085330587,-6509.967344683271,-7861.806613212871,-6512.297803061549,-5165.293180375033,0.868653408081562,-0.839453408081562,-4208.955054718908,0.004548051401733074,347.0519429093278,2295.208795190644
Honeycrisp,HC_O2,2023,December,0.0987,0.1449,-195060.13242285393,-416390.7552180546,-196431.28630783665,-2268.318753617025,-148610.9912275737,-347256.40652253234,-131643.7172910096,24715.660549461718,0.5673915400405289,-0.46869154004052893,-513570.5648086429,0.08349489706927653,180043.0694346315,236137.1168046733
Honeycrisp,HC_O2,2023,January,0.0946,0.1423,-199109.17618940782,-416552.46109847876,-199483.47774179862,-7945.433701976706,-148306.71743608694,-345128.58449822775,-130306.22003400815,22822.801672681904,0.5903662796330091,-0.4957662796330091,-512627.13969814585,0.07249779577370769,164516.7006155601,237102.33716328675
Honeycrisp,HC_O2,2023,February,0.0915,0.1575,-203895.52266970856,-426098.2880040629,-202142.33907899656,-16961.42223071054,-149682.9442146838,-355990.76948713546,-130238.49111437774,28219.369794842714,0.5742992960806051,-0.4827992960806051,-534207.2681950397,0.07465557534360777,179781.67787555465,242537.75035258316
Honeycrisp,HC_O2,2023,March,0.3362,0.6074,-167327.02419188005,-672759.070929907,-40596.66324120085,135486.00002238664,-49291.71903365942,-554782.132902659,55505.32836541976,286946.57034144807,0.7245453043089272,-0.38834530430892716,-1053829.607572793,0.19255069701200936,118685.6491330249,312186.10941609374
Honeycrisp,HC_O2,2023,April,0.3346,0.5995,-164325.54253156876,-661688.0395908827,-41036.669332720805,142250.5170411674,-55034.27710273604,-539735.2327063085,50869.552924122196,271063.15289248485,0.715259293440816,-0.38065929344081595,-1034049.2336199902,0.2001839198908513,122918.76723465562,308767.90208639094
Honeycrisp,HC_O2,2023,May,0.3421,0.5979,-176759.07014645147,-695273.7471887129,-46224.70882751141,144490.0842977537,-58076.70654524409,-587973.0087371956,54369.43460702477,292535.60990307503,0.7338746045537405,-0.3917746045537405,-1098676.1813334168,0.18856350759988896,120069.23597056414,331106.1799239725
Honeycrisp,HC_O2,2023,June,0.7838,0.3798,129862.8815175539,-227136.55762386325,188746.68689191947,401472.30215478805,-79878.56517283198,-446167.07167132694,-19166.884408043,202437.9780852517,0.542981744570321,0.24081825542967905,-523340.1692921181,3.051391197951903,246450.2014198596,292806.59738821484
Honeycrisp,HC_O2,2023,July,0.784,0.3918,133736.6124574871,-245753.52320434578,199262.61247178307,419367.15793707885,-79597.14598786428,-458043.40350599337,-17382.87924560462,214203.25917636915,0.5508514837710434,0.2331485162289566,-562857.1345385,2.959495999626646,257636.6430390649,315974.609653425
Honeycrisp,HC_O2,2023,August,0.7906,0.3845,124641.1944275321,-221755.55329204828,181870.5399333865,393520.1587831501,-76474.93415061472,-425193.35091272264,-17274.700978405308,191838.30991755525,0.56061964280585,0.22998035719415,-530416.7724008806,2.959051064628583,238128.56539935665,303835.9569111713
Honeycrisp,HC_O2,2024,September,0.0277,0.0,-2201.8269510294913,-3691.8032472925725,-2211.321188252885,-703.3050722474231,-6504.909492694785,-7833.1077152065,-6505.731142313452,-5172.990057752933,0.8735530695264292,-0.8458530695264292,-4181.94111010882,0.0041238084142697605,329.152035290878,2273.9323895989396
