flag,month,pooled_diff,avg_disaggregated_diff,difference_pooled_vs_disagg,max_orchard_diff,min_orchard_diff,orchard_details
pre_harvest_dry,April,0.016400000000000026,0.016399999999999998,2.7755575615628914e-17,0.29555,0.26275,"[('HC_O1', np.float64(-0.26275)), ('HC_O2', np.float64(0.29555))]"
pre_harvest_dry,May,0.013674999999999993,0.013674999999999993,0.0,0.2878,0.26045,"[('HC_O1', np.float64(-0.26045)), ('HC_O2', np.float64(0.2878))]"
pre_harvest_dry,June,0.10880000000000001,0.10879999999999997,4.163336342344337e-17,0.3626499999999999,0.14504999999999998,"[('HC_O1', np.float64(-0.14504999999999998)), ('HC_O2', np.float64(0.3626499999999999))]"
pre_harvest_dry,July,0.10994999999999999,0.10995000000000002,-2.7755575615628914e-17,0.36110000000000003,0.1412,"[('HC_O1', np.float64(-0.1412)), ('HC_O2', np.float64(0.36110000000000003))]"
pre_harvest_dry,August,0.10089999999999999,0.10090000000000002,-2.7755575615628914e-17,0.34590000000000004,0.1441,"[('HC_O1', np.float64(-0.1441)), ('HC_O2', np.float64(0.34590000000000004))]"
pre_harvest_wet,September,0.0006600000000000009,0.0007500000000000007,-8.99999999999998e-05,0.0007500000000000007,0.0007500000000000007,"[('HC_O2', np.float64(0.0007500000000000007))]"
pre_harvest_wet,October,0.0001999999999999988,0.0010999999999999968,-0.000899999999999998,0.0010999999999999968,0.0010999999999999968,"[('HC_O2', np.float64(0.0010999999999999968))]"
pre_harvest_wet,November,-0.003160000000000003,-0.0020499999999999997,-0.0011100000000000033,0.0020499999999999997,0.0020499999999999997,"[('HC_O2', np.float64(-0.0020499999999999997))]"
pre_harvest_wet,December,0.16214,0.1754,-0.013259999999999994,0.1754,0.1754,"[('HC_O2', np.float64(0.1754))]"
pre_harvest_wet,January,0.16463999999999995,0.18164999999999998,-0.017010000000000025,0.18164999999999998,0.18164999999999998,"[('HC_O2', np.float64(0.18164999999999998))]"
pre_harvest_wet,February,0.17318000000000003,0.19044999999999998,-0.017269999999999952,0.19044999999999998,0.19044999999999998,"[('HC_O2', np.float64(0.19044999999999998))]"
pre_harvest_wet,March,0.008399999999999963,-0.10264999999999999,0.11104999999999995,0.10264999999999999,0.10264999999999999,"[('HC_O2', np.float64(-0.10264999999999999))]"
