cultivar,orchard_id,year,technology,interval_months,n_reps,sample_mean,sample_sd,alpha_mom,beta_mom,ll_mom,aic_mom,ks_p_mom,alpha_mle,beta_mle,ll_mle,aic_mle,ks_p_mle,chosen_method,alpha,beta,ks_p_chosen
Honeycrisp,HC_O1,2024,RA,6,6,0.8277777777777778,0.05235208439728778,42.229717217217186,8.786048548548537,9.805304590085314,-15.610609180170627,0.9160232843017269,51.296903847628855,10.672096090164354,9.86036696402931,-15.720733928058621,0.8565617878022472,MLE,51.296903847628855,10.672096090164354,0.86
Honeycrisp,HC_O1,2024,RA,9,6,0.5055555555555555,0.11287488977066931,10.11111111111111,9.88888888888889,5.182314697271735,-6.364629394543471,0.34786574169479434,11.762181921679103,11.458695234239524,5.215814612191764,-6.431629224383528,0.296347820023685,MLE,11.762181921679103,11.458695234239524,0.29
Honeycrisp,HC_O2,2022,CA,3,6,0.8280864196666667,0.0668763848169975,25.530124797444653,5.300141453898299,7.433475835181085,-10.86695167036217,0.3849156511130657,21.46359966964018,4.4189159164998895,7.490148970785924,-10.980297941571848,0.34220015774449086,MLE,21.46359966964018,4.4189159164998895,0.35
Honeycrisp,HC_O2,2022,CA,6,6,0.8910263249999999,0.143637291268789,17.8205265,2.179473500000002,-6.577787920501251,17.155575841002502,0.286213081309165,2.6562429838277564,0.29993888856516343,12.18288134744213,-20.36576269488426,0.6462038033323196,MLE,2.6562429838277564,0.29993888856516343,0.64
Honeycrisp,HC_O2,2022,CA,9,6,0.8950617281666666,0.022427039747650784,166.25093425064955,19.491488890575955,14.772127954207406,-25.54425590841481,0.9410214601783491,194.94277047462833,22.853598561160744,14.80874035966474,-25.61748071932948,0.8991428267371102,MLE,194.94277047462833,22.853598561160744,0.9
Honeycrisp,HC_O2,2022,DCA,3,6,0.7966782672665026,0.07452923328001555,22.435847929199884,5.725894208162458,7.44741685104475,-10.8948337020895,0.7752325644481806,24.27873922114476,6.177197355276987,7.456598260321513,-10.913196520643027,0.7626367680020111,MLE,24.27873922114476,6.177197355276987,0.78
Honeycrisp,HC_O2,2022,DCA,6,6,0.734340326007326,0.24552854006264246,14.68680652014652,5.31319347985348,-98.14910582967458,200.29821165934916,0.42343964334705064,0.7852214830250067,0.17881835916741204,15.711235832836103,-27.422471665672205,0.2935560883298669,MLE,0.7852214830250067,0.17881835916741204,0.23
Honeycrisp,HC_O2,2022,DCA,9,6,0.9055825894909688,0.09446556884406047,18.111651789819376,1.8883482101806237,-9.471840626216562,22.943681252433123,0.4234396456063515,2.2662598093862227,0.19773352560795596,19.79542442370988,-35.59084884741976,0.5124166135153729,MLE,2.2662598093862227,0.19773352560795596,0.52
Honeycrisp,HC_O2,2022,RA,3,6,0.7296296296296297,0.045737366797142555,68.07564055859115,25.225998785670814,10.260061968970945,-16.52012393794189,0.4908894502814857,74.12445587946463,27.44074570915787,10.270651883148787,-16.541303766297574,0.4918785018317843,MLE,74.12445587946463,27.44074570915787,0.49
Honeycrisp,HC_O2,2022,RA,6,6,0.7507712716049383,0.2609180303115282,15.015425432098766,4.984574567901234,-92.04007773075304,188.08015546150608,0.42343964334705064,0.7857353678518998,0.17656008415175511,16.058215736219154,-28.116431472438308,0.30881268619742397,MLE,0.7857353678518998,0.17656008415175511,0.26
Honeycrisp,HC_O2,2022,RA,9,6,0.7757328346408808,0.08621949527386434,17.378549700378226,5.024201510254083,7.043691629461989,-10.087383258923978,0.9764499759163751,23.367288599319426,6.774436256287129,7.171918632931934,-10.343837265863868,0.9056757927291139,MLE,23.367288599319426,6.774436256287129,0.9
Honeycrisp,HC_O2,2023,CA,3,6,0.9749996666666666,0.02527585585406667,36.22500494805089,0.928858982894959,17.251326537172464,-30.502653074344927,0.42371091166392094,9.203237268978453,0.22593114139086498,25.240078484611953,-46.480156969223906,0.33300314408513887,MLE,9.203237268978453,0.22593114139086498,0.26
Honeycrisp,HC_O2,2023,CA,6,6,0.9694442777777778,0.0245324199743176,46.745835500271816,1.4733727325372046,11.443810143397673,-18.887620286795347,0.9704946494319503,12.68965309660293,0.3877898089100288,17.734444080094843,-31.468888160189685,0.19525138640837425,MLE,12.68965309660293,0.3877898089100288,0.16
Honeycrisp,HC_O2,2023,CA,9,6,0.8935185185185186,0.04450227718777006,42.03211680295011,5.009008738175397,10.727078411359102,-17.454156822718204,0.7453964967636131,46.820410787453916,5.57390942688662,10.74469187338751,-17.48938374677502,0.7431281894715653,MLE,46.820410787453916,5.57390942688662,0.8
Honeycrisp,HC_O2,2023,DCA,3,6,0.9027777777777777,0.051967463705193596,28.43750000000006,3.06250000000001,9.809950846182147,-15.619901692364294,0.9907201916271551,29.014263705640612,3.1148136833937454,9.810524592710188,-15.621049185420375,0.988904572415295,MLE,29.014263705640612,3.1148136833937454,0.99
